## FlyBase FBgn-Annotation ID Correspondence Table
## Generated: Wed Apr  1 17:36:04 2020
## Using datasource: dbi:Pg:dbname=fb_2020_02_reporting;host=flysql20;port=5432...

##gene_symbol	organism_abbreviation	primary_FBgn#	secondary_FBgn#(s)	annotation_ID	secondary_annotation_ID(s)
Dpse\GA14265	Dpse	FBgn0074294		GA14265	
Dpse\GA15459	Dpse	FBgn0075476		GA15459	
Dpse\GA10896	Dpse	FBgn0070952		GA10896	
Dpse\GA25886	Dpse	FBgn0247263		GA25886	
Dpse\GA21362	Dpse	FBgn0081350		GA21362	
Dpse\GA25888	Dpse	FBgn0247265		GA25888	
Dpse\GA11225	Dpse	FBgn0071279		GA11225	
Dpse\GA19823	Dpse	FBgn0079819		GA19823	
Dpse\GA18568	Dpse	FBgn0078569		GA18568	
Dpse\GA20813	Dpse	FBgn0080803		GA20813	
Dpse\GA20170	Dpse	FBgn0080165		GA20170	
Dpse\GA25899	Dpse	FBgn0247276		GA25899	
Dpse\GA20182	Dpse	FBgn0080177		GA20182	CG7211
Dpse\GA19998	Dpse	FBgn0079994		GA19998	
Dpse\GA11744	Dpse	FBgn0071793		GA11744	
Dpse\GA15514	Dpse	FBgn0075531		GA15514	
Dpse\GA17636	Dpse	FBgn0077647		GA17636	
Dpse\GA11259	Dpse	FBgn0071313		GA11259	
Dpse\GA18063	Dpse	FBgn0078071		GA18063	
Dpse\GA25891	Dpse	FBgn0247268		GA25891	
Dpse\GA25892	Dpse	FBgn0247269		GA25892	
Dpse\GA18037	Dpse	FBgn0078045		GA18037	
Dpse\GA25895	Dpse	FBgn0247272		GA25895	
Dpse\GA11273	Dpse	FBgn0071327		GA11273	
Dpse\GA16567	Dpse	FBgn0076582		GA16567	
Dpse\GA16566	Dpse	FBgn0076581		GA16566	
Dpse\GA11277	Dpse	FBgn0071331		GA11277	
Dpse\GA15053	Dpse	FBgn0075078		GA15053	
Dpse\GA25898	Dpse	FBgn0247275		GA25898	
Dpse\GA20082	Dpse	FBgn0080078		GA20082	
Dpse\GA20148	Dpse	FBgn0080144		GA20148	
Dpse\GA20141	Dpse	FBgn0080137		GA20141	
Dpse\GA16587	Dpse	FBgn0076602		GA16587	
Dpse\GA14455	Dpse	FBgn0074483		GA14455	
Dpse\GA25910	Dpse	FBgn0247287		GA25910	
Dpse\GA20129	Dpse	FBgn0080125		GA20129	
Dpse\Or24a	Dpse	FBgn0071240		GA11185	Or24a
Dpse\GA25902	Dpse	FBgn0247279		GA25902	
Dpse\GA25903	Dpse	FBgn0247280		GA25903	
Dpse\GA25904	Dpse	FBgn0247281		GA25904	
Dpse\GA25914	Dpse	FBgn0247291		GA25914	
Dpse\GA25915	Dpse	FBgn0247292		GA25915	
Dpse\GA11714	Dpse	FBgn0071764		GA11714	
Dpse\GA25905	Dpse	FBgn0247282		GA25905	
Dpse\GA25907	Dpse	FBgn0247284		GA25907	
Dpse\GA16466	Dpse	FBgn0076481		GA16466	
Dpse\GA25909	Dpse	FBgn0247286		GA25909	
Dpse\GA12171	Dpse	FBgn0072219		GA12171	
Dpse\GA12170	Dpse	FBgn0072218		GA12170	
Dpse\GA10943	Dpse	FBgn0070999		GA10943	
Dpse\GA12168	Dpse	FBgn0072216		GA12168	
Dpse\GA12169	Dpse	FBgn0072217		GA12169	
Dpse\GA19577	Dpse	FBgn0079573		GA19577	
Dpse\GA16478	Dpse	FBgn0076493		GA16478	
Dpse\GA25912	Dpse	FBgn0247289		GA25912	
Dpse\GA10295	Dpse	FBgn0070353		GA10295	
Dpse\GA25913	Dpse	FBgn0247290		GA25913	
Dpse\GA25916	Dpse	FBgn0247293		GA25916	
Dpse\GA13358	Dpse	FBgn0073395		GA13358	
Dpse\GA15377	Dpse	FBgn0075396		GA15377	
Dpse\GA21258	Dpse	FBgn0081246		GA21258	CG8680
Dpse\GA19160	Dpse	FBgn0079157		GA19160	
Dpse\GA21120	Dpse	FBgn0081108		GA21120	
Dpse\GA21159	Dpse	FBgn0081147		GA21159	
Dpse\GA14601	Dpse	FBgn0074628		GA14601	
Dpse\GA13523	Dpse	FBgn0073559		GA13523	
Dpse\GA15179	Dpse	FBgn0075204		GA15179	
Dpse\GA12167	Dpse	FBgn0072215		GA12167	
Dpse\GA12165	Dpse	FBgn0072213		GA12165	
Dpse\GA14463	Dpse	FBgn0074491		GA14463	
Dpse\GA14758	Dpse	FBgn0074785		GA14758	
Dpse\GA14464	Dpse	FBgn0074492		GA14464	
Dpse\GA25935	Dpse	FBgn0247312	FBgn0078600	GA25935	GA18599
Dpse\GA25941	Dpse	FBgn0247318		GA25941	
Dpse\GA13540	Dpse	FBgn0073576		GA13540	
Dpse\GA25924	Dpse	FBgn0247301		GA25924	
Dpse\GA25925	Dpse	FBgn0247302		GA25925	
Dpse\GA14599	Dpse	FBgn0074626		GA14599	
Dpse\GA10248	Dpse	FBgn0070306		GA10248	
Dpse\GA25929	Dpse	FBgn0247306		GA25929	
Dpse\GA25932	Dpse	FBgn0247309		GA25932	
Dpse\GA15175	Dpse	FBgn0075200		GA15175	
Dpse\GA25933	Dpse	FBgn0247310		GA25933	
Dpse\GA10233	Dpse	FBgn0070291		GA10233	
Dpse\GA25934	Dpse	FBgn0247311		GA25934	
Dpse\GA25996	Dpse	FBgn0247373		GA25996	
Dpse\GA18621	Dpse	FBgn0078622		GA18621	
Dpse\GA25937	Dpse	FBgn0247314		GA25937	
Dpse\GA25938	Dpse	FBgn0247315		GA25938	
Dpse\GA25939	Dpse	FBgn0247316		GA25939	
Dpse\GA10133	Dpse	FBgn0070192		GA10133	
Dpse\GA10135	Dpse	FBgn0070194		GA10135	
Dpse\GA10160	Dpse	FBgn0070219		GA10160	
Dpse\GA25940	Dpse	FBgn0247317		GA25940	
Dpse\GA20602	Dpse	FBgn0080596		GA20602	
Dpse\GA20614	Dpse	FBgn0080608		GA20614	
Dpse\GA20647	Dpse	FBgn0080641		GA20647	
Dpse\GA20789	Dpse	FBgn0080779		GA20789	
Dpse\GA20908	Dpse	FBgn0080897		GA20908	
Dpse\GA20953	Dpse	FBgn0080942		GA20953	
Dpse\GA11401	Dpse	FBgn0071455		GA11401	
Dpse\GA14406	Dpse	FBgn0074434		GA14406	
Dpse\GA25949	Dpse	FBgn0247326		GA25949	
Dpse\GA25956	Dpse	FBgn0247333		GA25956	
Dpse\GA21028	Dpse	FBgn0081017		GA21028	
Dpse\GA21088	Dpse	FBgn0081076		GA21088	
Dpse\GA16373	Dpse	FBgn0076388		GA16373	
Dpse\GA11162	Dpse	FBgn0071217		GA11162	
Dpse\GA25959	Dpse	FBgn0247336		GA25959	
Dpse\GA26018	Dpse	FBgn0247395		GA26018	
Dpse\GA17547	Dpse	FBgn0077558		GA17547	
Dpse\GA17598	Dpse	FBgn0077609		GA17598	
Dpse\GA10231	Dpse	FBgn0070289		GA10231	
Dpse\GA25946	Dpse	FBgn0247323		GA25946	
Dpse\GA25947	Dpse	FBgn0247324		GA25947	
Dpse\GA10586	Dpse	FBgn0070643		GA10586	
Dpse\GA14407	Dpse	FBgn0074435		GA14407	
Dpse\GA16923	Dpse	FBgn0076937		GA16923	
Dpse\GA17579	Dpse	FBgn0077590		GA17579	
Dpse\GA17596	Dpse	FBgn0077607		GA17596	
Dpse\GA10610	Dpse	FBgn0070667		GA10610	
Dpse\GA25950	Dpse	FBgn0247327		GA25950	
Dpse\GA13693	Dpse	FBgn0073729		GA13693	
Dpse\GA25952	Dpse	FBgn0247329		GA25952	
Dpse\GA13692	Dpse	FBgn0073728		GA13692	
Dpse\GA10615	Dpse	FBgn0070672		GA10615	
Dpse\GA13691	Dpse	FBgn0073727		GA13691	
Dpse\GA16477	Dpse	FBgn0076492		GA16477	
Dpse\GA20103	Dpse	FBgn0080099		GA20103	
Dpse\GA13713	Dpse	FBgn0073749		GA13713	
Dpse\GA25953	Dpse	FBgn0247330		GA25953	
Dpse\GA11960	Dpse	FBgn0072009		GA11960	
Dpse\GA16382	Dpse	FBgn0076397		GA16382	
Dpse\GA16585	Dpse	FBgn0076600		GA16585	
Dpse\GA25955	Dpse	FBgn0247332		GA25955	
Dpse\GA25968	Dpse	FBgn0247345		GA25968	
Dpse\GA20160	Dpse	FBgn0080155		GA20160	
Dpse\GA20111	Dpse	FBgn0080107		GA20111	
Dpse\GA20176	Dpse	FBgn0080171		GA20176	
Dpse\GA25962	Dpse	FBgn0247339		GA25962	
Dpse\GA14458	Dpse	FBgn0074486		GA14458	
Dpse\GA14456	Dpse	FBgn0074484		GA14456	
Dpse\GA11974	Dpse	FBgn0072023		GA11974	
Dpse\GA25965	Dpse	FBgn0247342		GA25965	
Dpse\GA17430	Dpse	FBgn0077443		GA17430	
Dpse\GA18377	Dpse	FBgn0078380		GA18377	
Dpse\GA11290	Dpse	FBgn0071344		GA11290	
Dpse\GA25966	Dpse	FBgn0247343		GA25966	
Dpse\GA17299	Dpse	FBgn0077312		GA17299	
Dpse\GA16468	Dpse	FBgn0076483		GA16468	
Dpse\GA25969	Dpse	FBgn0247346	FBgn0074129	GA25969	GA14099
Dpse\GA25976	Dpse	FBgn0247353		GA25976	
Dpse\GA16698	Dpse	FBgn0076713		GA16698	
Dpse\GA25992	Dpse	FBgn0247369		GA25992	
Dpse\GA13710	Dpse	FBgn0073746		GA13710	
Dpse\GA17300	Dpse	FBgn0077313		GA17300	
Dpse\GA16835	Dpse	FBgn0076849		GA16835	
Dpse\GA13711	Dpse	FBgn0073747		GA13711	
Dpse\GA16856	Dpse	FBgn0076870		GA16856	
Dpse\GA17645	Dpse	FBgn0077656		GA17645	
Dpse\GA12647	Dpse	FBgn0072693		GA12647	
Dpse\GA12649	Dpse	FBgn0072695		GA12649	
Dpse\GA18887	Dpse	FBgn0078887		GA18887	
Dpse\GA19049	Dpse	FBgn0079047		GA19049	
Dpse\GA20095	Dpse	FBgn0080091		GA20095	
Dpse\GA20105	Dpse	FBgn0080101		GA20105	
Dpse\GA20106	Dpse	FBgn0080102		GA20106	
Dpse\GA25978	Dpse	FBgn0247355		GA25978	
Dpse\GA13060	Dpse	FBgn0073098		GA13060	
Dpse\GA18404	Dpse	FBgn0078406		GA18404	
Dpse\GA10443	Dpse	FBgn0070500		GA10443	
Dpse\GA21381	Dpse	FBgn0081369		GA21381	
Dpse\GA21382	Dpse	FBgn0081370		GA21382	
Dpse\GA21365	Dpse	FBgn0081353		GA21365	
Dpse\GA13854	Dpse	FBgn0073886		GA13854	
Dpse\GA26020	Dpse	FBgn0247397	FBgn0081698	GA26020	GA21713
Dpse\GA12955	Dpse	FBgn0072993		GA12955	
Dpse\GA21709	Dpse	FBgn0081694		GA21709	
Dpse\GA11811	Dpse	FBgn0071860		GA11811	
Dpse\GA15478	Dpse	FBgn0075495		GA15478	
Dpse\GA11281	Dpse	FBgn0071335		GA11281	
Dpse\GA15531	Dpse	FBgn0075548		GA15531	
Dpse\GA17520	Dpse	FBgn0077531		GA17520	
Dpse\GA25983	Dpse	FBgn0247360		GA25983	
Dpse\GA21947	Dpse	FBgn0081932		GA21947	
Dpse\GA25995	Dpse	FBgn0247372		GA25995	
Dpse\GA20348	Dpse	FBgn0080343		GA20348	
Dpse\Gr32a	Dpse	FBgn0073388		GA13351	Gr32a
Dpse\GA18433	Dpse	FBgn0078435		GA18433	
Dpse\GA13348	Dpse	FBgn0073385		GA13348	CG14913
Dpse\GA13350	Dpse	FBgn0073387		GA13350	
Dpse\GA25986	Dpse	FBgn0247363		GA25986	
Dpse\GA19701	Dpse	FBgn0079697		GA19701	
Dpse\GA16973	Dpse	FBgn0076987		GA16973	
Dpse\mit(1)15	Dpse	FBgn0022854		GA22111	mit(1)15
Dpse\GA25990	Dpse	FBgn0247367		GA25990	
Dpse\GA25991	Dpse	FBgn0247368		GA25991	
Dpse\GA17379	Dpse	FBgn0077392		GA17379	
Dpse\GA10584	Dpse	FBgn0070641		GA10584	
Dpse\GA19698	Dpse	FBgn0079694		GA19698	
Dpse\GA12077	Dpse	FBgn0072125		GA12077	
Dpse\GA18276	Dpse	FBgn0078281		GA18276	
Dpse\GA25998	Dpse	FBgn0247375		GA25998	
Dpse\GA17634	Dpse	FBgn0077645		GA17634	
Dpse\GA26003	Dpse	FBgn0247380		GA26003	
Dpse\GA18371	Dpse	FBgn0078374		GA18371	
Dpse\GA18499	Dpse	FBgn0078501		GA18499	
Dpse\GA26010	Dpse	FBgn0247387		GA26010	
Dpse\GA18394	Dpse	FBgn0078396		GA18394	
Dpse\GA18425	Dpse	FBgn0078427		GA18425	
Dpse\GA26007	Dpse	FBgn0247384		GA26007	
Dpse\GA18478	Dpse	FBgn0078480		GA18478	
Dpse\GA26008	Dpse	FBgn0247385		GA26008	
Dpse\GA19780	Dpse	FBgn0079776		GA19780	
Dpse\GA26017	Dpse	FBgn0247394		GA26017	
Dpse\GA26025	Dpse	FBgn0247402		GA26025	
Dpse\GA21663	Dpse	FBgn0081648		GA21663	
Dpse\GA26014	Dpse	FBgn0247391		GA26014	
Dpse\GA12711	Dpse	FBgn0072757		GA12711	
Dpse\GA12710	Dpse	FBgn0072756		GA12710	CG14028
Dpse\GA26015	Dpse	FBgn0247392		GA26015	
Dpse\GA14423	Dpse	FBgn0074451		GA14423	
Dpse\GA14420	Dpse	FBgn0074448		GA14420	
Dpse\GA14419	Dpse	FBgn0074447		GA14419	
Dpse\GA17553	Dpse	FBgn0077564		GA17553	
Dpse\GA26016	Dpse	FBgn0247393		GA26016	
Dpse\GA14400	Dpse	FBgn0074428		GA14400	
Dpse\GA21700	Dpse	FBgn0081685		GA21700	
Dpse\GA21697	Dpse	FBgn0081682		GA21697	
Dpse\GA21696	Dpse	FBgn0081681		GA21696	
Dpse\GA14594	Dpse	FBgn0074622		GA14594	
Dpse\GA11550	Dpse	FBgn0071601		GA11550	
Dpse\GA21714	Dpse	FBgn0081699		GA21714	
Dpse\GA13852	Dpse	FBgn0073884		GA13852	
Dpse\GA26021	Dpse	FBgn0247398		GA26021	
Dpse\GA21703	Dpse	FBgn0081688		GA21703	
Dpse\GA21695	Dpse	FBgn0081680		GA21695	
Dpse\GA21694	Dpse	FBgn0081679		GA21694	
Dpse\GA10488	Dpse	FBgn0070545		GA10488	
Dpse\GA16447	Dpse	FBgn0076462		GA16447	
Dpse\GA14595	Dpse	FBgn0074623		GA14595	
Dpse\GA26022	Dpse	FBgn0247399		GA26022	
Dpse\GA26023	Dpse	FBgn0247400		GA26023	
Dpse\GA26039	Dpse	FBgn0247416		GA26039	
Dpse\GA26033	Dpse	FBgn0247410		GA26033	
Dpse\GA15375	Dpse	FBgn0075394		GA15375	
Dpse\GA15376	Dpse	FBgn0075395		GA15376	
Dpse\GA10459	Dpse	FBgn0070516		GA10459	
Dpse\GA10457	Dpse	FBgn0070514		GA10457	
Dpse\GA26027	Dpse	FBgn0247404		GA26027	
Dpse\GA20587	Dpse	FBgn0080581		GA20587	
Dpse\GA26030	Dpse	FBgn0247407		GA26030	
Dpse\GA18197	Dpse	FBgn0078204		GA18197	
Dpse\GA26031	Dpse	FBgn0247408		GA26031	
Dpse\GA16575	Dpse	FBgn0076590		GA16575	
Dpse\GA26034	Dpse	FBgn0247411		GA26034	
Dpse\GA13547	Dpse	FBgn0073583		GA13547	
Dpse\GA10462	Dpse	FBgn0070519		GA10462	
Dpse\GA21880	Dpse	FBgn0081865		GA21880	
Dpse\GA10445	Dpse	FBgn0070502		GA10445	
Dpse\GA16579	Dpse	FBgn0076594		GA16579	
Dpse\GA10251	Dpse	FBgn0070309		GA10251	
Dpse\GA10253	Dpse	FBgn0070311		GA10253	
Dpse\GA10257	Dpse	FBgn0070315		GA10257	
Dpse\GA10259	Dpse	FBgn0070317		GA10259	
Dpse\GA26047	Dpse	FBgn0247424		GA26047	
Dpse\GA14462	Dpse	FBgn0074490		GA14462	
Dpse\GA18209	Dpse	FBgn0078216		GA18209	
Dpse\GA18210	Dpse	FBgn0078217		GA18210	
Dpse\GA18257	Dpse	FBgn0078263		GA18257	
Dpse\GA26040	Dpse	FBgn0247417		GA26040	
Dpse\GA18289	Dpse	FBgn0078294		GA18289	
Dpse\GA26041	Dpse	FBgn0247418		GA26041	
Dpse\GA16499	Dpse	FBgn0076514		GA16499	
Dpse\GA18317	Dpse	FBgn0078322		GA18317	
Dpse\GA18360	Dpse	FBgn0078364		GA18360	
Dpse\GA13764	Dpse	FBgn0073800		GA13764	
Dpse\GA26044	Dpse	FBgn0247421		GA26044	
Dpse\GA16580	Dpse	FBgn0076595		GA16580	
Dpse\GA26046	Dpse	FBgn0247423		GA26046	
Dpse\Gr22a	Dpse	FBgn0076391		GA16376	Gr22a
Dpse\Gr22b	Dpse	FBgn0076587		GA16572	Gr22b
Dpse\GA26048	Dpse	FBgn0247425		GA26048	
Dpse\GA16378	Dpse	FBgn0076393		GA16378	
Dpse\GA26056	Dpse	FBgn0247433		GA26056	
Dpse\GA26049	Dpse	FBgn0247426		GA26049	
Dpse\GA20273	Dpse	FBgn0080268		GA20273	
Dpse\GA26051	Dpse	FBgn0247428		GA26051	
Dpse\GA10631	Dpse	FBgn0070687		GA10631	
Dpse\GA20240	Dpse	FBgn0080235		GA20240	
Dpse\Or33N	Dpse	FBgn0083536		GA26061	Or33N
Dpse\GA20242	Dpse	FBgn0080237		GA20242	
Dpse\GA26052	Dpse	FBgn0247429		GA26052	
Dpse\GA18053	Dpse	FBgn0078061		GA18053	
Dpse\GA18056	Dpse	FBgn0078064		GA18056	
Dpse\GA26055	Dpse	FBgn0247432		GA26055	
Dpse\Or22c	Dpse	FBgn0073720		GA13684	Or22c
Dpse\GA17377	Dpse	FBgn0077390		GA17377	
Dpse\GA16408	Dpse	FBgn0076423		GA16408	
Dpse\GA13360	Dpse	FBgn0073397		GA13360	
Dpse\GA13646	Dpse	FBgn0073682		GA13646	
Dsim\tRNA:GD26177	Dsim	FBgn0256028		GD26177	
Dpse\Or33a	Dpse	FBgn0074268		GA14239	Or33a
Dpse\Or33b	Dpse	FBgn0074269		GA14240	Or33b
Dpse\GA26066	Dpse	FBgn0247442	FBgn0072956	GA26066	GA12918
Dana\GF27173	Dana	FBgn0274396		GF27173	
Dpse\Or33c	Dpse	FBgn0078590		GA18589	Or33c
Dpse\GA26062	Dpse	FBgn0247438		GA26062	
Dpse\GA13734	Dpse	FBgn0073770		GA13734	
Dpse\GA17231	Dpse	FBgn0077244		GA17231	
Dpse\GA21884	Dpse	FBgn0081869		GA21884	
Dpse\GA26072	Dpse	FBgn0247448		GA26072	
Dpse\GA26073	Dpse	FBgn0247449		GA26073	
Dpse\GA26074	Dpse	FBgn0247450		GA26074	
Dpse\GA13733	Dpse	FBgn0073769		GA13733	
Dpse\GA13732	Dpse	FBgn0073768		GA13732	
Dpse\GA26067	Dpse	FBgn0247443	FBgn0072956	GA26067	GA12918
Dpse\GA13729	Dpse	FBgn0073765		GA13729	
Dpse\GA13728	Dpse	FBgn0073764		GA13728	
Dpse\GA13524	Dpse	FBgn0073560		GA13524	
Dpse\GA19589	Dpse	FBgn0079585		GA19589	
Dpse\GA13727	Dpse	FBgn0073763		GA13727	
Dpse\GA26063	Dpse	FBgn0247439		GA26063	
Dana\GF27174	Dana	FBgn0274397		GF27174	
Dpse\GA17589	Dpse	FBgn0077600		GA17589	
Dpse\GA26065	Dpse	FBgn0247441		GA26065	
Dpse\GA17388	Dpse	FBgn0077401		GA17388	
Dpse\GA18169	Dpse	FBgn0078176		GA18169	
Dpse\GA18175	Dpse	FBgn0078182		GA18175	
Dpse\GA18177	Dpse	FBgn0078184		GA18177	
Dpse\GA18423	Dpse	FBgn0078425		GA18423	
Dpse\GA14302	Dpse	FBgn0074330		GA14302	
Dpse\GA12923	Dpse	FBgn0072961		GA12923	
Dpse\GA11475	Dpse	FBgn0071526		GA11475	
Dpse\GA18271	Dpse	FBgn0078276		GA18271	
Dpse\GA21888	Dpse	FBgn0081873		GA21888	
Dpse\GA18402	Dpse	FBgn0078404		GA18402	
Dpse\GA19606	Dpse	FBgn0079602		GA19606	
Dpse\GA18414	Dpse	FBgn0078416		GA18414	
Dpse\GA12921	Dpse	FBgn0072959		GA12921	
Dpse\GA16568	Dpse	FBgn0076583		GA16568	
Dpse\GA18546	Dpse	FBgn0078548		GA18546	
Dpse\GA18584	Dpse	FBgn0078585		GA18584	
Dpse\GA14300	Dpse	FBgn0074328		GA14300	
Dpse\GA12922	Dpse	FBgn0072960		GA12922	
Dpse\GA18850	Dpse	FBgn0078850		GA18850	
Dpse\GA18974	Dpse	FBgn0078973		GA18974	
Dpse\GA16569	Dpse	FBgn0076584		GA16569	
Dpse\GA17303	Dpse	FBgn0077316		GA17303	
Dpse\GA16570	Dpse	FBgn0076585		GA16570	
Dpse\GA16375	Dpse	FBgn0076390		GA16375	
Dpse\GA26078	Dpse	FBgn0247454		GA26078	
Dpse\GA26079	Dpse	FBgn0247455		GA26079	
Dpse\GA26080	Dpse	FBgn0247456		GA26080	
Dpse\GA26114	Dpse	FBgn0247490		GA26114	
Dpse\GA26081	Dpse	FBgn0247457		GA26081	
Dpse\GA26082	Dpse	FBgn0247458		GA26082	
Dpse\GA12925	Dpse	FBgn0072963		GA12925	
Dpse\GA12926	Dpse	FBgn0072964		GA12926	
Dpse\GA10262	Dpse	FBgn0070320		GA10262	
Dpse\GA26096	Dpse	FBgn0247472		GA26096	
Dpse\GA13535	Dpse	FBgn0073571		GA13535	
Dpse\GA20181	Dpse	FBgn0080176		GA20181	
Dpse\GA26083	Dpse	FBgn0247459		GA26083	
Dpse\GA16475	Dpse	FBgn0076490		GA16475	
Dpse\GA18297	Dpse	FBgn0078302		GA18297	
Dpse\GA13534	Dpse	FBgn0073570		GA13534	
Dpse\GA26084	Dpse	FBgn0247460		GA26084	
Dpse\GA20415	Dpse	FBgn0080410		GA20415	
Dpse\GA26086	Dpse	FBgn0247462		GA26086	
Dpse\GA26087	Dpse	FBgn0247463		GA26087	
Dpse\GA26088	Dpse	FBgn0247464	FBgn0073565	GA26088	GA13529
Dpse\GA19551	Dpse	FBgn0079547		GA19551	
Dpse\GA26092	Dpse	FBgn0247468		GA26092	
Dpse\GA13528	Dpse	FBgn0073564		GA13528	
Dpse\GA19919	Dpse	FBgn0079915		GA19919	
Dpse\GA26095	Dpse	FBgn0247471		GA26095	
Dpse\GA26104	Dpse	FBgn0247480		GA26104	
Dpse\GA20096	Dpse	FBgn0080092		GA20096	
Dpse\GA26097	Dpse	FBgn0247473		GA26097	
Dpse\GA26098	Dpse	FBgn0247474		GA26098	
Dpse\GA18656	Dpse	FBgn0078656		GA18656	
Dpse\GA17206	Dpse	FBgn0077220		GA17206	
Dpse\GA26099	Dpse	FBgn0247475		GA26099	
Dpse\GA26100	Dpse	FBgn0247476		GA26100	
Dpse\GA19012	Dpse	FBgn0079010		GA19012	
Dpse\GA14970	Dpse	FBgn0074995		GA14970	
Dpse\GA26102	Dpse	FBgn0247478		GA26102	
Dpse\GA26105	Dpse	FBgn0247481		GA26105	
Dpse\GA13735	Dpse	FBgn0073771		GA13735	
Dpse\GA26124	Dpse	FBgn0247500		GA26124	
Dpse\GA26109	Dpse	FBgn0247485		GA26109	
Dpse\GA20046	Dpse	FBgn0080042		GA20046	
Dpse\GA26110	Dpse	FBgn0247486		GA26110	
Dpse\GA26113	Dpse	FBgn0247489		GA26113	
Dpse\GA19363	Dpse	FBgn0079360		GA19363	
Dpse\GA26115	Dpse	FBgn0247491		GA26115	
Dpse\GA11518	Dpse	FBgn0071569		GA11518	
Dpse\GA19748	Dpse	FBgn0079744		GA19748	
Dpse\GA20167	Dpse	FBgn0080162		GA20167	
Dpse\GA20052	Dpse	FBgn0080048		GA20052	
Dpse\GA26118	Dpse	FBgn0247494		GA26118	
Dpse\GA26150	Dpse	FBgn0247526		GA26150	
Dpse\GA18756	Dpse	FBgn0078756		GA18756	
Dpse\GA26120	Dpse	FBgn0247496		GA26120	
Dpse\GA13675	Dpse	FBgn0073711		GA13675	
Dpse\GA20749	Dpse	FBgn0080740		GA20749	
Dpse\GA26121	Dpse	FBgn0247497		GA26121	
Dpse\GA16771	Dpse	FBgn0076785	FBgn0074566	GA16771	GA14538,CG32230
Dpse\GA20072	Dpse	FBgn0080068		GA20072	
Dpse\GA12976	Dpse	FBgn0073014		GA12976	
Dpse\GA16156	Dpse	FBgn0076172		GA16156	
Dpse\GA19318	Dpse	FBgn0079315		GA19318	
Dpse\GA11151	Dpse	FBgn0071206		GA11151	
Dpse\GA14972	Dpse	FBgn0074997		GA14972	
Dpse\GA26139	Dpse	FBgn0247515		GA26139	
Dpse\GA18275	Dpse	FBgn0078280		GA18275	
Dpse\GA26140	Dpse	FBgn0247516		GA26140	
Dpse\GA11528	Dpse	FBgn0071579		GA11528	
Dpse\GA19090	Dpse	FBgn0079088		GA19090	
Dpse\GA19095	Dpse	FBgn0079093		GA19095	
Dpse\GA15144	Dpse	FBgn0075169		GA15144	
Dpse\GA15141	Dpse	FBgn0075166		GA15141	
Dpse\GA15513	Dpse	FBgn0075530		GA15513	
Dpse\GA10983	Dpse	FBgn0071039		GA10983	
Dpse\GA26142	Dpse	FBgn0247518		GA26142	
Dpse\GA26144	Dpse	FBgn0247520		GA26144	
Dpse\GA19430	Dpse	FBgn0079427		GA19430	
Dpse\GA26145	Dpse	FBgn0247521		GA26145	
Dpse\GA26146	Dpse	FBgn0247522		GA26146	
Dpse\GA26148	Dpse	FBgn0247524		GA26148	
Dpse\GA18744	Dpse	FBgn0078744		GA18744	
Dpse\GA18775	Dpse	FBgn0078775		GA18775	
Dpse\GA13173	Dpse	FBgn0073210		GA13173	
Dpse\GA15552	Dpse	FBgn0075569		GA15552	
Dpse\GA11278	Dpse	FBgn0071332		GA11278	CG11913
Dpse\GA11307	Dpse	FBgn0071361		GA11307	
Dpse\GA11309	Dpse	FBgn0071363		GA11309	
Dpse\GA10581	Dpse	FBgn0070638		GA10581	
Dpse\GA16098	Dpse	FBgn0076114		GA16098	
Dpse\GA13174	Dpse	FBgn0073211		GA13174	
Dpse\GA13443	Dpse	FBgn0073479		GA13443	
Dpse\GA13175	Dpse	FBgn0073212		GA13175	
Dpse\GA26149	Dpse	FBgn0247525		GA26149	
Dpse\GA11235	Dpse	FBgn0071289		GA11235	
Dpse\GA11236	Dpse	FBgn0071290		GA11236	
Dpse\GA11237	Dpse	FBgn0071291		GA11237	
Dpse\GA26164	Dpse	FBgn0247540		GA26164	
Dpse\GA20192	Dpse	FBgn0080187		GA20192	
Dpse\GA26157	Dpse	FBgn0247533		GA26157	
Dpse\GA18758	Dpse	FBgn0078758		GA18758	
Dpse\GA18764	Dpse	FBgn0078764		GA18764	
Dpse\GA15029	Dpse	FBgn0075054		GA15029	
Dpse\GA26158	Dpse	FBgn0247534		GA26158	
Dpse\GA16115	Dpse	FBgn0076131		GA16115	
Dpse\GA18419	Dpse	FBgn0078421		GA18419	
Dpse\GA17563	Dpse	FBgn0077574		GA17563	
Dpse\GA16251	Dpse	FBgn0076267		GA16251	
Dpse\GA13184	Dpse	FBgn0073221		GA13184	
Dpse\GA26196	Dpse	FBgn0247571		GA26196	
Dpse\GA19749	Dpse	FBgn0079745		GA19749	
Dpse\GA20163	Dpse	FBgn0080158		GA20163	
Dpse\GA11251	Dpse	FBgn0071305		GA11251	
Dpse\GA26153	Dpse	FBgn0247529		GA26153	
Dpse\GA26154	Dpse	FBgn0247530		GA26154	
Dpse\GA26173	Dpse	FBgn0247549		GA26173	
Dpse\GA26233	Dpse	FBgn0247607		GA26233	
Dpse\GA12900	Dpse	FBgn0072938		GA12900	
Dpse\GA26160	Dpse	FBgn0247536		GA26160	
Dpse\GA20183	Dpse	FBgn0080178		GA20183	
Dpse\GA17200	Dpse	FBgn0077214		GA17200	
Dpse\GA20257	Dpse	FBgn0080252		GA20257	
